Id,meanfreq,sd,median,Q25,Q75,IQR,skew,kurt,sp.ent,sfm,mode,centroid,meanfun,minfun,maxfun,meandom,mindom,maxdom,dfrange,modindx,label
1,0.132462919,0.082276265,0.162165475,0.046618999,0.201348315,0.154729316,1.99047556,7.814367657,0.953139144,0.706315967,0.202778345,0.132462919,0.171065691,0.021164021,0.266666667,1.029194079,0.0078125,4.9765625,4.96875,0.254542278,female
2,0.142107791,0.075127874,0.133017032,0.085498783,0.201143552,0.115644769,2.914278414,27.59024718,0.970401486,0.771349882,0.060121655,0.142107791,0.101573578,0.015888779,0.262295082,1.204733456,0.0078125,5.8203125,5.8125,0.267350929,male
3,0.190401637,0.062116026,0.191444241,0.132577697,0.251846435,0.119268739,1.47897518,4.409604029,0.896352854,0.369562972,0.25952468,0.190401637,0.122925908,0.047713718,0.263736264,0.759960938,0.0234375,8.484375,8.4609375,0.06790255,male
4,0.196856029,0.062990825,0.214237668,0.193520179,0.229304933,0.035784753,3.540719284,19.56105139,0.894762618,0.432146581,0.217690583,0.196856029,0.163253558,0.016326531,0.275862069,0.419397866,0.0078125,5.2890625,5.28125,0.087394893,female
5,0.181019996,0.059629393,0.163738318,0.137570093,0.234392523,0.09682243,1.541186129,5.231348253,0.924803115,0.468432708,0.135700935,0.181019996,0.139198013,0.047244094,0.279069767,1.431525735,0.0234375,5.578125,5.5546875,0.137418489,male
6,0.171986256,0.053923985,0.172335484,0.154090323,0.20196129,0.047870968,3.104259896,16.51482041,0.92205371,0.525875021,0.163122581,0.171986256,0.150452396,0.018382353,0.27027027,0.92961238,0.004882813,3.798828125,3.793945313,0.343790219,female
7,0.180190968,0.061104849,0.178399146,0.12909285,0.23547492,0.10638207,0.589787464,2.527880398,0.942037155,0.494260073,0.12072572,0.180190968,0.118432277,0.046920821,0.279069767,0.72963627,0.0234375,3.9375,3.9140625,0.103897468,male
8,0.217978586,0.044916029,0.21569378,0.201403509,0.252759171,0.051355662,2.077278722,7.502047005,0.862451596,0.273082093,0.198724083,0.217978586,0.175742693,0.048632219,0.272727273,1.068229167,0.0234375,5.7890625,5.765625,0.08597561,female
9,0.141132927,0.08044404,0.17617357,0.0582643,0.197712032,0.139447732,2.810346321,13.44199701,0.947771558,0.685224055,0.191637081,0.141132927,0.176764804,0.04432133,0.253968254,0.471484375,0.0078125,2.984375,2.9765625,0.183865175,female
10,0.209003648,0.043100122,0.210294648,0.199518942,0.230499098,0.030980156,3.130435368,14.42911883,0.856791564,0.265930813,0.208274203,0.209003648,0.203146841,0.039215686,0.256410256,0.476597377,0.200195313,0.830078125,0.629882813,0.557841383,female
11,0.191782317,0.05718025,0.213650794,0.137777778,0.233333333,0.095555556,2.328113863,9.477488107,0.914134747,0.398212963,0.233333333,0.191782317,0.127979149,0.047337278,0.279069767,1.146267361,0.0234375,7.2421875,7.21875,0.09595192,male
12,0.215239227,0.031032843,0.213730408,0.197931034,0.228213166,0.030282132,2.537974106,9.458937785,0.820713892,0.147658117,0.222946708,0.215239227,0.180194296,0.047151277,0.274285714,0.728557181,0.0234375,4.1015625,4.078125,0.115489874,female
13,0.179755017,0.057453113,0.172495637,0.151483421,0.228202443,0.076719023,1.923998767,7.017308524,0.921624883,0.51200518,0.150994764,0.179755017,0.149034349,0.047384008,0.277456647,0.819791667,0.0234375,9.7265625,9.703125,0.087285903,female
14,0.202825881,0.06488582,0.21975052,0.168087318,0.256278586,0.088191268,1.888725961,6.888190393,0.936806507,0.585019472,0.269376299,0.202825881,0.110122557,0.015640274,0.266666667,0.984157986,0.234375,7,6.765625,0.120432007,male
15,0.163945656,0.054090696,0.170872751,0.163970686,0.185236509,0.021265823,8.484734815,94.07945057,0.859376626,0.429825992,0.169193871,0.163945656,0.151182217,0.040650407,0.192307692,0.176532452,0.170898438,0.209960938,0.0390625,0.14,female
16,0.219834427,0.031331382,0.221029641,0.208361934,0.237628705,0.029266771,2.423269901,9.661611241,0.826339845,0.166085422,0.221029641,0.219834427,0.15929915,0.047151277,0.271186441,1.077059659,0.1875,3.703125,3.515625,0.142807018,female
17,0.129773971,0.078814989,0.129618644,0.058135593,0.196949153,0.138813559,2.028090245,9.311066312,0.958561295,0.728277054,0.191313559,0.129773971,0.180637791,0.050793651,0.271186441,0.661328125,0.0078125,5.84375,5.8359375,0.182766152,female
18,0.182299692,0.062017039,0.193745624,0.159766628,0.23033839,0.070571762,1.406595042,4.308847519,0.941427382,0.594892424,0.195215869,0.182299692,0.162182751,0.016161616,0.275862069,0.164566532,0.0078125,0.296875,0.2890625,0.309412861,female
19,0.208893602,0.040650652,0.210625,0.200625,0.2284375,0.0278125,3.273968634,15.9477549,0.853012994,0.247077684,0.20734375,0.208893602,0.204826602,0.06993007,0.256410256,0.419546274,0.146484375,0.830078125,0.68359375,0.325714286,female
20,0.195796863,0.044173992,0.200058565,0.158243045,0.232855051,0.074612006,1.272191139,3.808155983,0.897365383,0.278620874,0.202518302,0.195796863,0.157184967,0.049331963,0.279069767,1.527604167,0.0234375,11.8125,11.7890625,0.116848907,female
21,0.195140186,0.040786462,0.199491094,0.178117048,0.218371501,0.040254453,2.311870149,9.158750728,0.867160311,0.296457976,0.198066158,0.195140186,0.174648153,0.047713718,0.269662921,1.509698276,0.0234375,8.8359375,8.8125,0.156061823,female
22,0.177527038,0.05760106,0.190017094,0.120615385,0.217299145,0.096683761,1.51334504,5.045305951,0.921580649,0.473949968,0.188581197,0.177527038,0.121318856,0.047012733,0.279069767,1.557010135,0.0234375,7.5703125,7.546875,0.171408535,male
23,0.185643489,0.065043383,0.203955432,0.186016713,0.223454039,0.037437326,2.732155446,11.20632255,0.89832992,0.476307945,0.199665738,0.185643489,0.175833394,0.048241206,0.275862069,1.077674279,0.0234375,6.0234375,6,0.086685505,female
24,0.186288684,0.055812571,0.202613065,0.136482412,0.228643216,0.092160804,1.149861884,3.697727633,0.900710379,0.29850662,0.204020101,0.186288684,0.132548178,0.05106383,0.258064516,0.790409483,0.0234375,3.2578125,3.234375,0.156911929,male
25,0.187363484,0.069257867,0.207822222,0.188325926,0.227318519,0.038992593,2.673878953,11.51720863,0.897502604,0.449708111,0.209481481,0.187363484,0.181871355,0.047761194,0.277456647,1.690770349,0.0234375,12.0234375,12,0.146205357,female
26,0.227305907,0.031153808,0.229052632,0.221052632,0.24,0.018947368,4.994138686,35.93723095,0.785030894,0.16080066,0.227368421,0.227305907,0.199453826,0.047012733,0.279069767,1.336894133,0.0234375,9.6796875,9.65625,0.117529666,female
27,0.173271499,0.065123494,0.187934239,0.144102931,0.218556112,0.074453181,2.594766613,11.35850314,0.946681272,0.668180884,0.191536812,0.173271499,0.145000381,0.016048144,0.275862069,0.183238636,0.0078125,0.265625,0.2578125,0.172248804,female
28,0.146240822,0.078153554,0.159084843,0.083279314,0.221544328,0.138265014,1.341798807,5.602640078,0.96790055,0.744772749,0.237025739,0.146240822,0.100752018,0.030360531,0.253968254,0.657226563,0.0078125,6.171875,6.1640625,0.098768785,male
29,0.133659057,0.077263786,0.13663586,0.07125077,0.195637708,0.124386938,4.896852915,68.84745496,0.969887403,0.77887861,0.120418977,0.133659057,0.132471129,0.015825915,0.25,0.222916667,0.0078125,0.7109375,0.703125,0.268434343,female
30,0.124061766,0.080143375,0.114922118,0.05364486,0.208255452,0.154610592,3.532720936,26.67836872,0.944929221,0.656899326,0,0.124061766,0.116307881,0.016528926,0.262295082,0.096643519,0.0078125,0.3984375,0.390625,0.252,male
31,0.191527796,0.059902474,0.175891341,0.143565365,0.251001698,0.107436333,1.194307922,3.67058585,0.912656995,0.415626598,0.170186757,0.191527796,0.134617399,0.047571853,0.274285714,1.053420608,0.0234375,4.828125,4.8046875,0.162601626,male
32,0.188522388,0.034891291,0.18367688,0.166128134,0.208635097,0.042506964,2.47939319,10.25016968,0.851809343,0.208435738,0.162228412,0.188522388,0.158827159,0.047151277,0.271186441,1.013327206,0.0234375,9.421875,9.3984375,0.072156565,female
33,0.196158955,0.04434865,0.202956522,0.192695652,0.216347826,0.023652174,3.466937684,17.39055725,0.851042577,0.293634719,0.204869565,0.196158955,0.198550768,0.084745763,0.23255814,0.442708333,0.1953125,0.8203125,0.625,0.572368421,female
34,0.131099727,0.078964943,0.149948007,0.09729636,0.176880416,0.079584055,25.39335957,710.1358714,0.843430262,0.445144232,0,0.131099727,0.093611219,0.02,0.186046512,0.0078125,0.0078125,0.0078125,0,0,male
35,0.198203005,0.031488215,0.195094056,0.182031603,0.218269375,0.036237773,2.643353282,12.04094133,0.862681813,0.17460658,0.183085026,0.198203005,0.186065977,0.076190476,0.23880597,0.714154412,0.171875,6.171875,6,0.113541667,female
36,0.198810571,0.060895554,0.227862069,0.133724138,0.250068966,0.116344828,2.171919437,8.599213903,0.879918289,0.285795152,0.246206897,0.198810571,0.138740188,0.048435923,0.279069767,1.230741279,0.0234375,5.1796875,5.15625,0.138875598,male
37,0.160042863,0.061398068,0.132186474,0.113617859,0.222639527,0.109021668,2.500834323,11.11512135,0.924541066,0.480473769,0.119684833,0.160042863,0.112151479,0.014513788,0.238095238,0.41809082,0.087890625,0.786132813,0.698242188,0.594738595,male
38,0.134785266,0.082020212,0.142052786,0.057067449,0.202404692,0.145337243,1.341973191,5.596725766,0.973843435,0.801312698,0.200351906,0.134785266,0.17986718,0.028520499,0.275862069,0.52173913,0.0234375,3.875,3.8515625,0.153771854,female
39,0.10914848,0.09154176,0.071577123,0.024263432,0.195320624,0.171057192,1.899222349,6.472859434,0.948617526,0.678843265,0.020623917,0.10914848,0.190846141,0.030188679,0.275862069,0.359375,0.0078125,0.71875,0.7109375,0.354395604,female
40,0.189613974,0.035932606,0.194115545,0.168433591,0.205288862,0.036855271,2.72441469,10.98686402,0.871215305,0.236683539,0.195616438,0.189613974,0.163058558,0.029684601,0.258064516,1.370192308,0.1640625,7,6.8359375,0.235948052,female
41,0.186823415,0.035517864,0.188380634,0.174590985,0.204741235,0.03015025,2.467077291,8.935370116,0.850902184,0.263912065,0.176227045,0.186823415,0.177238312,0.034408602,0.246153846,0.685614224,0.0078125,6.78125,6.7734375,0.159895767,female
42,0.183570922,0.039093767,0.187109005,0.173396524,0.199936809,0.026540284,2.807680824,11.23654868,0.836882855,0.280333046,0.198609795,0.183570922,0.186825186,0.079207921,0.246153846,0.402604167,0.15625,3.3359375,3.1796875,0.143734644,female
43,0.173016114,0.073812068,0.201634321,0.129846782,0.217078652,0.087231869,3.791735398,19.56492941,0.919260203,0.590861108,0.201920327,0.173016114,0.165826531,0.018411968,0.266666667,0.180706522,0.0078125,0.2734375,0.265625,0.228609626,female
44,0.22569798,0.035251117,0.228681672,0.217427653,0.239935691,0.022508039,3.572960651,18.56488583,0.797863323,0.190038627,0.228231511,0.22569798,0.185090376,0.052573932,0.275862069,1.595833333,0.0234375,7.78125,7.7578125,0.159257661,female
45,0.189283042,0.037183418,0.191775939,0.178943348,0.209955442,0.031012094,2.557851921,9.826535251,0.851283958,0.266139129,0.190884787,0.189283042,0.165715976,0.016129032,0.266666667,1.252477134,0.0703125,6.6328125,6.5625,0.208839286,female
46,0.184168806,0.037102954,0.1861837,0.16843467,0.198861578,0.030426908,2.746986333,10.93918419,0.840538087,0.268711222,0.190168176,0.184168806,0.17623034,0.06779661,0.23880597,0.184210526,0.0390625,0.2421875,0.203125,0.117521368,female
47,0.190331164,0.046809933,0.185283951,0.157283951,0.218469136,0.061185185,2.477582323,12.01641237,0.892427118,0.335346236,0.184592593,0.190331164,0.148003766,0.046966732,0.279069767,1.886917373,0.1640625,8.296875,8.1328125,0.193869531,female
48,0.190270482,0.060960247,0.194973822,0.133403141,0.243839442,0.1104363,0.807525863,2.963505364,0.931159989,0.435852363,0.182268761,0.190270482,0.12962363,0.046966732,0.272727273,1.016773897,0.0234375,6.84375,6.8203125,0.091001655,male
49,0.178535925,0.057604645,0.18893913,0.138295652,0.206469565,0.068173913,2.532185825,11.53146473,0.903636266,0.3963962,0.20013913,0.178535925,0.13361574,0.049331963,0.277456647,1.19765625,0.0234375,7.6171875,7.59375,0.201587302,male
50,0.16243893,0.059944088,0.167797101,0.109971014,0.208376812,0.098405797,1.123454378,4.108406133,0.949240143,0.607524027,0.095971014,0.16243893,0.095971357,0.017021277,0.210526316,0.986979167,0.078125,6.8671875,6.7890625,0.227420681,male
51,0.191087983,0.059123343,0.200674536,0.156762226,0.237504216,0.08074199,0.759967954,2.603362101,0.930385469,0.451028391,0.266779089,0.191087983,0.134564512,0.048192771,0.275862069,1.612165179,0.0234375,5.6015625,5.578125,0.144106291,male
52,0.221791813,0.039241245,0.22807418,0.196918688,0.244450785,0.047532097,1.862881711,6.10038346,0.855800487,0.220984616,0.194921541,0.221791813,0.150455147,0.047012733,0.279069767,1.306770833,0.0234375,9.140625,9.1171875,0.122172237,female
53,0.174076641,0.055988285,0.172740316,0.123328551,0.221750359,0.098421808,1.300944617,4.031301579,0.921562161,0.448641507,0.227374462,0.174076641,0.128453661,0.047856431,0.277456647,1.217285156,0.0234375,4.125,4.1015625,0.2,male
54,0.199217361,0.060648002,0.219883946,0.137562863,0.255628627,0.118065764,1.368588734,3.903595499,0.887227849,0.258821468,0.268626692,0.199217361,0.118799152,0.046920821,0.277456647,0.934821429,0.1875,6.0234375,5.8359375,0.082264542,male
55,0.194983781,0.060560142,0.213674776,0.133725992,0.246299616,0.112573624,1.849313594,7.311027595,0.914560761,0.438332956,0.259564661,0.194983781,0.114290921,0.04519774,0.155339806,0.358258929,0.15625,0.6640625,0.5078125,0.383846154,male
56,0.171829295,0.071932805,0.180107207,0.099058964,0.239642644,0.140583681,19.30579434,514.178305,0.926782342,0.528598978,0.060035736,0.171829295,0.089869829,0.015904573,0.275862069,0.078804348,0.0703125,0.25,0.1796875,0.083091787,male
57,0.199427119,0.057378141,0.221383178,0.133981308,0.244411215,0.110429907,1.450572535,4.616233432,0.891871052,0.256308573,0.244411215,0.199427119,0.12055358,0.049281314,0.274285714,1.032393293,0.0234375,5.8125,5.7890625,0.093010867,male
58,0.141017301,0.087606329,0.139022222,0.093866667,0.217244444,0.123377778,30.82275524,1022.06412,0.844112969,0.439875027,0,0.141017301,0.071610081,0.015984016,0.219178082,0.0078125,0.0078125,0.0078125,0,0,male
59,0.186370118,0.031625009,0.181253918,0.16677116,0.201880878,0.035109718,2.648135121,10.33807707,0.832587613,0.163673176,0.182131661,0.186370118,0.168510296,0.047012733,0.275862069,0.832280585,0.1640625,9.4453125,9.28125,0.076790634,female
60,0.164565495,0.066691594,0.170044524,0.118682102,0.220409617,0.101727516,1.2630975,4.548818698,0.961162599,0.700490779,0.242101514,0.164565495,0.119315238,0.033755274,0.262295082,0.194957386,0.0078125,0.6953125,0.6875,0.205627706,male
61,0.093453268,0.077776758,0.066440678,0.026101695,0.15779661,0.131694915,2.314418438,8.883277033,0.952193118,0.714591416,0.012161017,0.093453268,0.168043947,0.059925094,0.242424242,0.623697917,0.0078125,3.296875,3.2890625,0.262400447,female
62,0.162981116,0.065952332,0.142770664,0.134295693,0.206984866,0.072689173,4.344838338,26.58960548,0.869835696,0.429785659,0.137555297,0.162981116,0.131376326,0.016771488,0.181818182,0.187890625,0.0078125,0.6875,0.6796875,0.255427842,male
